
Logging initialized using configuration in file:/etc/hive-1.2.0/hive-log4j.properties
Hive history file=/home/hive/log/tnystrand/hive_job_log_b4df1efb-5ccc-44ca-b938-56a935e3b677_1248489398.txt
Partition cluster_metrics_prod_2.container_time_series{system=dailymail, date=2016-03-11} stats: [numFiles=1, numRows=8, totalSize=2170, rawDataSize=6472]
Partition cluster_metrics_prod_2.container_time_series{system=ms3, date=2015-07-17	} stats: [numFiles=1, numRows=3037947, totalSize=4360383, rawDataSize=3080289048]
Partition cluster_metrics_prod_2.container_time_series{system=yellowhammer, date=2016-03-15} stats: [numFiles=3, numRows=8885, totalSize=81197, rawDataSize=8982735]
Partition cluster_metrics_prod_2.container_time_series{system=ms3, date=2015-06-30	} stats: [numFiles=1, numRows=857782, totalSize=4983663, rawDataSize=870524240]
Partition cluster_metrics_prod_2.container_time_series{system=glu, date=2015-10-14} stats: [numFiles=1, numRows=865501, totalSize=4726755, rawDataSize=868606804]
Partition cluster_metrics_prod_2.container_time_series{system=drawbridge2, date=2016-03-03} stats: [numFiles=4, numRows=51040, totalSize=323164, rawDataSize=51542660]
Partition cluster_metrics_prod_2.container_time_series{system=ia, date=2016-03-29} stats: [numFiles=3, numRows=6569, totalSize=74768, rawDataSize=6623215]
Partition cluster_metrics_prod_2.container_time_series{system=dumbo, date=2015-11-03} stats: [numFiles=1, numRows=927, totalSize=13338, rawDataSize=935343]
Partition cluster_metrics_prod_2.container_time_series{system=drawbridge2, date=2015-10-14} stats: [numFiles=1, numRows=1258760, totalSize=6730737, rawDataSize=1268725848]
Partition cluster_metrics_prod_2.container_time_series{system=ms22, date=2015-08-12	} stats: [numFiles=1, numRows=314065, totalSize=935908, rawDataSize=302915345]
Partition cluster_metrics_prod_2.container_time_series{system=glu, date=2016-01-28} stats: [numFiles=3, numRows=272976, totalSize=1824072, rawDataSize=273551728]
Partition cluster_metrics_prod_2.container_time_series{system=firstdata, date=2015-11-03} stats: [numFiles=1, numRows=31, totalSize=2906, rawDataSize=31000]
Partition cluster_metrics_prod_2.container_time_series{system=dlx, date=2016-01-09} stats: [numFiles=4, numRows=121132, totalSize=596143, rawDataSize=121286783]
Partition cluster_metrics_prod_2.container_time_series{system=devicescape2, date=2015-06-22	} stats: [numFiles=1, numRows=981761, totalSize=7038636, rawDataSize=983531960]
Partition cluster_metrics_prod_2.container_time_series{system=visiblemeasures, date=2015-12-11} stats: [numFiles=1, numRows=174204, totalSize=1118363, rawDataSize=175103298]
Partition cluster_metrics_prod_2.container_time_series{system=pxcel, date=2015-12-07} stats: [numFiles=1, numRows=261, totalSize=5482, rawDataSize=261261]
Partition cluster_metrics_prod_2.container_time_series{system=dogfood, date=2015-08-16	} stats: [numFiles=1, numRows=108953, totalSize=792213, rawDataSize=109601174]
Partition cluster_metrics_prod_2.container_time_series{system=ms3, date=2015-07-08	} stats: [numFiles=1, numRows=51934, totalSize=172952, rawDataSize=52624151]
Partition cluster_metrics_prod_2.container_time_series{system=airpush, date=2015-12-26} stats: [numFiles=1, numRows=34840, totalSize=291168, rawDataSize=34979360]
Partition cluster_metrics_prod_2.container_time_series{system=dlx, date=2015-07-10	} stats: [numFiles=1, numRows=2257597, totalSize=10160941, rawDataSize=2263918319]
Partition cluster_metrics_prod_2.container_time_series{system=marketshare, date=2015-07-08	} stats: [numFiles=1, numRows=3638231, totalSize=14202532, rawDataSize=3692313468]
Partition cluster_metrics_prod_2.container_time_series{system=visiblemeasures, date=2016-01-21} stats: [numFiles=4, numRows=162732, totalSize=980244, rawDataSize=163625569]
Partition cluster_metrics_prod_2.container_time_series{system=yellowhammer, date=2015-10-10} stats: [numFiles=1, numRows=7773, totalSize=65323, rawDataSize=7811865]
Partition cluster_metrics_prod_2.container_time_series{system=yellowhammer, date=2016-01-23} stats: [numFiles=3, numRows=8515, totalSize=65425, rawDataSize=8540545]
Partition cluster_metrics_prod_2.container_time_series{system=ia, date=2016-03-11} stats: [numFiles=4, numRows=568182, totalSize=485686, rawDataSize=573239989]
